,Longitudes,Latitudes
0,-150.00093,61.187207
1,9.041169,48.53775
2,-75.1635262,39.9527237
3,-102.0077097,23.6585116
4,-80.85111103114339,31.98859165
5,-149.2583685,-17.8419303
6,-118.242766,34.0536909
7,-77.7278831,40.9699889
8,7.9999721,9.6000359
9,139.7594549,35.6828387
10,-122.1768209,48.0517429
11,-89.4337288,40.0796606
12,-79.0392919,35.6729639
13,-89.4337288,40.0796606
14,-0.3055688,53.5019639
15,-3.2095752,55.9257913
16,-0.1276474,51.5073219
17,-92.4479108,35.2048883
18,-72.032366,42.3788774
19,-79.3839347,43.6534817
20,-96.8643151,39.0166671
21,139.7594549,35.6828387
22,19.4792099,47.6337331
23,7.8533226,10.3825318
24,-73.9598939,40.7896239
25,-0.2012376,5.5571096
26,-100.2844569,25.6308481
27,-81.6319362,30.1950558
28,-81.3790304,28.5421109
29,-111.714358,39.4225192
30,14.5276014,45.9592409
31,121.0047458,14.459898
32,-80.4363743,33.6874388
33,-87.6930459,42.0447388
34,-107.991707,61.0666922
35,-73.5698065,45.5031824
36,19.6608615,41.7862439
37,-78.512231,33.880728
38,-77.0365427,38.8950368
39,-2.2451148,53.4794892
40,27.8858333,-26.1563889
41,-99.5873816,41.7370229
42,8.7525902,46.3351913
43,31.009909,-29.861825
44,-122.4264270211096,37.628145950000004
45,-68.2421832,-38.9330474
46,-66.1109318,8.0018709
47,-81.4639835,27.7567667
48,-111.7890373,33.3527632
49,28.049722,-26.205
50,-87.6244212,41.8755616
51,-82.458444,27.9477595
52,-77.7066741,39.609238
53,-118.1292846,33.9404441
54,-84.3902644,33.7489924
55,-0.777203,48.2534179
56,-93.7559378,32.4707862
57,10.4478313,51.1638175
58,-74.8095711558388,10.98901325
59,-98.393637,30.554023
60,14.4476911,35.8885993
61,-111.714358,39.4225192
62,-107.991707,61.0666922
63,-78.4927721,37.1232245
64,-75.8449946,43.1561681
65,-1.2649062,52.5310214
66,6.7763137,51.2254018
67,-86.8295337,33.2588817
68,0.3853936,41.0092568
69,-0.1728578,5.6291321
70,-157.855676,21.304547
71,-100.445882,39.7837304
72,151.2082848,-33.8698439
73,-122.330062,47.6038321
74,-97.0544341,28.0205733
75,-118.0577568,34.1082994
76,7.9999721,9.6000359
77,-60.982981,14.010457
78,-93.2512895,45.0157576
79,21.68528,52.53042
80,-90.2428756,38.6319657
81,-107.991707,61.0666922
82,-7.9794599,52.865196
83,30.316229,59.938732
84,42.306267,40.207443
85,-83.613055,42.2410562
86,-79.7028276,43.4129206
87,6.3258262,48.3604648
88,-0.1276474,51.5073219
89,-79.3839347,43.6534817
90,-3.5269497,50.7255794
91,-104.984862,39.7392364
92,-47.7125224,-24.3998924
93,-3.2765753,54.7023545
94,-0.2012376,5.5571096
95,-77.0365427,38.8950368
96,10.4410399,43.7629956
97,-74.0060152,40.7127281
98,-118.242766,34.0536909
99,10.4410399,43.7629956
100,10.4410399,43.7629956
101,-53.2,-10.3333333
102,10.4410399,43.7629956
103,-87.5558483,37.9747645
104,107.7681635,-6.9039005
105,-107.991707,61.0666922
106,14.446459273258009,50.0596288
107,14.5327402,40.9210826
108,-0.1276474,51.5073219
109,138.6002994,-35.0098638
110,16.3047521,48.1956458
111,-66.9146008,10.5060934
112,-122.419906,37.7790262
113,-74.0060152,40.7127281
114,17.646091635845135,49.19692
115,8.7525902,46.3351913
116,-74.0060152,40.7127281
117,-100.445882,39.7837304
118,7.9999721,9.6000359
119,-83.6324022,32.8406946
120,-1.2649062,52.5310214
121,121.076403216942,14.69322365
122,-75.1635262,39.9527237
123,2.9999825,28.0000272
124,73.8544541,18.521428
125,-9.5131483,51.6901245
126,55.4235841,25.3122223
127,78.6677428,22.3511148
128,135.4489617,34.752726
129,113.37943867200988,23.16191945
130,-51.0898927,-29.9493353
131,-0.1276474,51.5073219
132,85.01912603289477,20.5132535
133,16.3725042,48.2083537
134,-1.2649062,52.5310214
135,72.5797068,23.0216238
136,-76.6160589,39.2974168
137,-0.1276474,51.5073219
138,-5.94192,43.3133868
139,23.7283052,37.9839412
140,-96.8078766,32.780595
141,-79.6371124,39.2138905
142,8.7525902,46.3351913
143,-116.8537227,39.5158825
144,-85.1551411,37.5726028
145,-1.9026911,52.4796992
146,-79.3839347,43.6534817
147,2.1774322,41.3828939
148,-73.9497211,40.6526006
149,1.8883335,46.603354
150,1.8883335,46.603354
151,-103.90050220904119,34.656400500000004
152,77.2090057,28.6138954
153,7.9999721,9.6000359
154,-118.191604,33.7690164
155,-123.8925908,43.0059455
156,-118.242766,34.0536909
157,7.9999721,9.6000359
158,-1.9026911,52.4796992
159,-122.849143,49.1913033
160,139.7594549,35.6828387
161,-97.0465220537124,32.89651945
162,19.6608615,41.7862439
163,-76.1474244,43.0481221
164,-6.257452506035049,55.68289935
165,17.3231107,-23.2335499
166,-121.7733285,38.6786109
167,13.3888599,52.5170365
168,6.1784167,5.5273061
169,1.8883335,46.603354
170,7.3361682,47.1750219
